date,Rionegro.mean_pm25,Rionegro.mean_s,Rionegro.mean_t,id
9/18/2020 10:08:55.000000000 AM,,,,Rionegro
9/18/2020 10:08:57.500000000 AM,9,40,25,Rionegro
9/18/2020 10:09:00.000000000 AM,,,,Rionegro
9/18/2020 10:09:02.500000000 AM,,,,Rionegro
9/18/2020 10:09:05.000000000 AM,,,,Rionegro
9/18/2020 10:09:07.500000000 AM,,,,Rionegro
9/18/2020 10:09:10.000000000 AM,9,40,25,Rionegro
9/18/2020 10:09:12.500000000 AM,,,,Rionegro
9/18/2020 10:09:15.000000000 AM,,,,Rionegro
9/18/2020 10:09:17.500000000 AM,,,,Rionegro
9/18/2020 10:09:20.000000000 AM,,,,Rionegro
9/18/2020 10:09:22.500000000 AM,,,,Rionegro
9/18/2020 10:09:25.000000000 AM,,,,Rionegro
9/18/2020 10:09:27.500000000 AM,9,40,26,Rionegro
9/18/2020 10:09:30.000000000 AM,,,,Rionegro
9/18/2020 10:09:32.500000000 AM,,,,Rionegro
9/18/2020 10:09:35.000000000 AM,,,,Rionegro
9/18/2020 10:09:37.500000000 AM,,,,Rionegro
9/18/2020 10:09:40.000000000 AM,9,41,25,Rionegro
9/18/2020 10:09:42.500000000 AM,,,,Rionegro
9/18/2020 10:09:45.000000000 AM,,,,Rionegro
9/18/2020 10:09:47.500000000 AM,,,,Rionegro
9/18/2020 10:09:50.000000000 AM,,,,Rionegro
9/18/2020 10:09:52.500000000 AM,,,,Rionegro
9/18/2020 10:09:55.000000000 AM,,,,Rionegro
9/18/2020 10:09:57.500000000 AM,9,40,25,Rionegro
9/18/2020 10:10:00.000000000 AM,,,,Rionegro
9/18/2020 10:10:02.500000000 AM,,,,Rionegro
9/18/2020 10:10:05.000000000 AM,,,,Rionegro
9/18/2020 10:10:07.500000000 AM,,,,Rionegro
9/18/2020 10:10:10.000000000 AM,8,40,25,Rionegro
9/18/2020 10:10:12.500000000 AM,,,,Rionegro
9/18/2020 10:10:15.000000000 AM,,,,Rionegro
9/18/2020 10:10:17.500000000 AM,,,,Rionegro
9/18/2020 10:10:20.000000000 AM,,,,Rionegro
9/18/2020 10:10:22.500000000 AM,,,,Rionegro
9/18/2020 10:10:25.000000000 AM,,,,Rionegro
9/18/2020 10:10:27.500000000 AM,8,40,26,Rionegro
9/18/2020 10:10:30.000000000 AM,,,,Rionegro
9/18/2020 10:10:32.500000000 AM,,,,Rionegro
9/18/2020 10:10:35.000000000 AM,,,,Rionegro
9/18/2020 10:10:37.500000000 AM,,,,Rionegro
9/18/2020 10:10:40.000000000 AM,10,40,25,Rionegro
9/18/2020 10:10:42.500000000 AM,,,,Rionegro
9/18/2020 10:10:45.000000000 AM,,,,Rionegro
9/18/2020 10:10:47.500000000 AM,,,,Rionegro
9/18/2020 10:10:50.000000000 AM,,,,Rionegro
9/18/2020 10:10:52.500000000 AM,,,,Rionegro
9/18/2020 10:10:55.000000000 AM,,,,Rionegro
9/18/2020 10:10:57.500000000 AM,10,40,25,Rionegro
9/18/2020 10:11:00.000000000 AM,,,,Rionegro
9/18/2020 10:11:02.500000000 AM,,,,Rionegro
9/18/2020 10:11:05.000000000 AM,,,,Rionegro
9/18/2020 10:11:07.500000000 AM,,,,Rionegro
9/18/2020 10:11:10.000000000 AM,10,40,25,Rionegro
9/18/2020 10:11:12.500000000 AM,,,,Rionegro
9/18/2020 10:11:15.000000000 AM,,,,Rionegro
9/18/2020 10:11:17.500000000 AM,,,,Rionegro
9/18/2020 10:11:20.000000000 AM,,,,Rionegro
9/18/2020 10:11:22.500000000 AM,,,,Rionegro
9/18/2020 10:11:25.000000000 AM,,,,Rionegro
9/18/2020 10:11:27.500000000 AM,10,40,25,Rionegro
9/18/2020 10:11:30.000000000 AM,,,,Rionegro
9/18/2020 10:11:32.500000000 AM,,,,Rionegro
9/18/2020 10:11:35.000000000 AM,,,,Rionegro
9/18/2020 10:11:37.500000000 AM,,,,Rionegro
9/18/2020 10:11:40.000000000 AM,8,40,25,Rionegro
9/18/2020 10:11:42.500000000 AM,,,,Rionegro
9/18/2020 10:11:45.000000000 AM,,,,Rionegro
9/18/2020 10:11:47.500000000 AM,,,,Rionegro
9/18/2020 10:11:50.000000000 AM,,,,Rionegro
9/18/2020 10:11:52.500000000 AM,,,,Rionegro
9/18/2020 10:11:55.000000000 AM,,,,Rionegro
9/18/2020 10:11:57.500000000 AM,8,40,25,Rionegro
9/18/2020 10:12:00.000000000 AM,,,,Rionegro
9/18/2020 10:12:02.500000000 AM,,,,Rionegro
9/18/2020 10:12:05.000000000 AM,,,,Rionegro
9/18/2020 10:12:07.500000000 AM,,,,Rionegro
9/18/2020 10:12:10.000000000 AM,9,40,25,Rionegro
9/18/2020 10:12:12.500000000 AM,,,,Rionegro
9/18/2020 10:12:15.000000000 AM,,,,Rionegro
9/18/2020 10:12:17.500000000 AM,,,,Rionegro
9/18/2020 10:12:20.000000000 AM,,,,Rionegro
9/18/2020 10:12:22.500000000 AM,,,,Rionegro
9/18/2020 10:12:25.000000000 AM,,,,Rionegro
9/18/2020 10:12:27.500000000 AM,9,40,25,Rionegro
9/18/2020 10:12:30.000000000 AM,,,,Rionegro
9/18/2020 10:12:32.500000000 AM,,,,Rionegro
9/18/2020 10:12:35.000000000 AM,,,,Rionegro
9/18/2020 10:12:37.500000000 AM,,,,Rionegro
9/18/2020 10:12:40.000000000 AM,9,40,25,Rionegro
9/18/2020 10:12:42.500000000 AM,,,,Rionegro
9/18/2020 10:12:45.000000000 AM,,,,Rionegro
9/18/2020 10:12:47.500000000 AM,,,,Rionegro
9/18/2020 10:12:50.000000000 AM,,,,Rionegro
9/18/2020 10:12:52.500000000 AM,,,,Rionegro
9/18/2020 10:12:55.000000000 AM,,,,Rionegro
9/18/2020 10:12:57.500000000 AM,9,40,25,Rionegro
9/18/2020 10:13:00.000000000 AM,,,,Rionegro
9/18/2020 10:13:02.500000000 AM,,,,Rionegro
9/18/2020 10:13:05.000000000 AM,,,,Rionegro
9/18/2020 10:13:07.500000000 AM,,,,Rionegro
9/18/2020 10:13:10.000000000 AM,8,40,25,Rionegro
9/18/2020 10:13:12.500000000 AM,,,,Rionegro
9/18/2020 10:13:15.000000000 AM,,,,Rionegro
9/18/2020 10:13:17.500000000 AM,,,,Rionegro
9/18/2020 10:13:20.000000000 AM,,,,Rionegro
9/18/2020 10:13:22.500000000 AM,,,,Rionegro
9/18/2020 10:13:25.000000000 AM,,,,Rionegro
9/18/2020 10:13:27.500000000 AM,8,40,26,Rionegro
9/18/2020 10:13:30.000000000 AM,,,,Rionegro
9/18/2020 10:13:32.500000000 AM,,,,Rionegro
9/18/2020 10:13:35.000000000 AM,,,,Rionegro
9/18/2020 10:13:37.500000000 AM,,,,Rionegro
9/18/2020 10:13:40.000000000 AM,9,40,25,Rionegro
9/18/2020 10:13:42.500000000 AM,,,,Rionegro
9/18/2020 10:13:45.000000000 AM,,,,Rionegro
9/18/2020 10:13:47.500000000 AM,,,,Rionegro
9/18/2020 10:13:50.000000000 AM,,,,Rionegro
9/18/2020 10:13:52.500000000 AM,,,,Rionegro
9/18/2020 10:13:55.000000000 AM,9,40,25,Rionegro
9/18/2020 10:13:57.500000000 AM,,,,Rionegro
9/18/2020 10:14:00.000000000 AM,,,,Rionegro
9/18/2020 10:14:02.500000000 AM,,,,Rionegro
9/18/2020 10:14:05.000000000 AM,,,,Rionegro
9/18/2020 10:14:07.500000000 AM,,,,Rionegro
9/18/2020 10:14:10.000000000 AM,8,40,25,Rionegro
9/18/2020 10:14:12.500000000 AM,,,,Rionegro
9/18/2020 10:14:15.000000000 AM,,,,Rionegro
9/18/2020 10:14:17.500000000 AM,,,,Rionegro
9/18/2020 10:14:20.000000000 AM,,,,Rionegro
9/18/2020 10:14:22.500000000 AM,,,,Rionegro
9/18/2020 10:14:25.000000000 AM,,,,Rionegro
9/18/2020 10:14:27.500000000 AM,9,40,25,Rionegro
9/18/2020 10:14:30.000000000 AM,,,,Rionegro
9/18/2020 10:14:32.500000000 AM,,,,Rionegro
9/18/2020 10:14:35.000000000 AM,,,,Rionegro
9/18/2020 10:14:37.500000000 AM,,,,Rionegro
9/18/2020 10:14:40.000000000 AM,,,,Rionegro
9/18/2020 10:14:42.500000000 AM,9,40,25,Rionegro
9/18/2020 10:14:45.000000000 AM,,,,Rionegro
9/18/2020 10:14:47.500000000 AM,,,,Rionegro
9/18/2020 10:14:50.000000000 AM,,,,Rionegro
9/18/2020 10:14:52.500000000 AM,,,,Rionegro
9/18/2020 10:14:55.000000000 AM,8,40,25,Rionegro
9/18/2020 10:14:57.500000000 AM,,,,Rionegro
9/18/2020 10:15:00.000000000 AM,,,,Rionegro
9/18/2020 10:15:02.500000000 AM,,,,Rionegro
